,ga.dateHourMinute,ga.sessionDurationBucket,ga.browser.encoded,ga.operatingSystem.encoded,ga.operatingSystemVersion.encoded,ga.language.encoded,ga.DeviceInfo.encoded,ga.sessionsWithEvent,Success,month,date,hour,minute,time
0,201804031151,1,A6,B2,C44,D30,E1,1,False,4,3,11,51,1151
1,201804141014,3,A4,B2,C42,D54,E1,1,False,4,14,10,14,1014
2,201804141045,1,A4,B2,C49,D53,E1,1,False,4,14,10,45,1045
3,201804231929,2,A3,B2,C51,D13,E1,1,False,4,23,19,29,1929
4,201806061033,1,A6,B2,C44,D31,E1,1,False,6,6,10,33,1033
5,201806211537,20,A13,B2,C51,D55,E1,1,False,6,21,15,37,1537
6,201805110931,26,A4,B2,C52,D31,E3,1,False,5,11,9,31,931
7,201803181924,2,A11,B4,C5,D54,E5,1,False,3,18,19,24,1924
8,201803202349,2,A11,B4,C8,D77,E5,1,False,3,20,23,49,2349
9,201804031057,1,A11,B4,C15,D73,E5,1,False,4,3,10,57,1057
10,201804071552,1,A12,B4,C7,D77,E5,1,False,4,7,15,52,1552
11,201804100213,1,A11,B4,C62,D31,E5,1,False,4,10,2,13,213
12,201804141916,3,A12,B4,C26,D77,E5,1,False,4,14,19,16,1916
13,201804161022,2,A4,B4,C24,D77,E5,1,False,4,16,10,22,1022
14,201804300931,1,A4,B4,C17,D54,E5,1,False,4,30,9,31,931
15,201805051613,3,A11,B4,C26,D25,E5,1,False,5,5,16,13,1613
16,201805102154,1,A11,B4,C24,D13,E5,1,False,5,10,21,54,2154
17,201805121829,4,A4,B4,C62,D38,E5,1,False,5,12,18,29,1829
18,201805152158,2,A4,B4,C12,D54,E5,1,False,5,15,21,58,2158
19,201806011836,1,A11,B4,C59,D77,E5,1,False,6,1,18,36,1836
20,201806022208,11,A4,B4,C13,D77,E5,1,False,6,2,22,8,2208
21,201806042032,1,A11,B4,C17,D77,E5,1,False,6,4,20,32,2032
22,201806062016,1,A11,B4,C61,D31,E5,1,False,6,6,20,16,2016
23,201806131931,12,A12,B4,C27,D77,E5,1,False,6,13,19,31,1931
24,201806171203,1,A11,B4,C29,D13,E5,1,False,6,17,12,3,1203
25,201806140603,2,A12,B4,C1,D77,E6,1,False,6,14,6,3,603
26,201803201630,1,A12,B4,C1,D13,E7,1,False,3,20,16,30,1630
27,201805091923,1,A12,B4,C1,D77,E8,1,False,5,9,19,23,1923
28,201803241449,49,A12,B4,C26,D54,E9,1,False,3,24,14,49,1449
29,201803162145,1,A12,B4,C24,D77,E11,1,False,3,16,21,45,2145
30,201803172012,1,A4,B4,C24,D77,E11,1,False,3,17,20,12,2012
31,201803201906,1,A11,B4,C26,D17,E11,1,False,3,20,19,6,1906
32,201803260601,24,A11,B4,C61,D77,E11,1,False,3,26,6,1,601
33,201804041821,2,A4,B4,C62,D31,E11,1,False,4,4,18,21,1821
34,201804050056,1,A11,B4,C26,D11,E11,1,False,4,5,0,56,56
35,201804072208,3,A11,B4,C56,D77,E11,1,False,4,7,22,8,2208
36,201804141013,2,A4,B4,C19,D54,E11,1,False,4,14,10,13,1013
37,201804261842,2,A11,B4,C14,D31,E11,1,False,4,26,18,42,1842
38,201804302135,3,A12,B4,C26,D54,E11,1,False,4,30,21,35,2135
39,201805060946,4,A11,B4,C14,D17,E11,1,False,5,6,9,46,946
40,201805181601,1,A11,B4,C12,D13,E11,1,False,5,18,16,1,1601
41,201805231751,3,A4,B4,C28,D63,E11,1,False,5,23,17,51,1751
42,201805250754,25,A11,B4,C10,D51,E11,1,False,5,25,7,54,754
43,201805272252,2,A11,B4,C21,D31,E11,1,False,5,27,22,52,2252
44,201805281705,1,A11,B4,C16,D51,E11,1,False,5,28,17,5,1705
45,201806041815,3,A11,B4,C59,D77,E11,1,False,6,4,18,15,1815
46,201804191244,40,A11,B4,C26,D77,E11,1,True,4,19,12,44,1244
47,201804252038,33,A11,B4,C10,D77,E11,0,True,4,25,20,38,2038
48,201804260640,591,A11,B4,C14,D77,E11,1,True,4,26,6,40,640
49,201805050016,136,A11,B4,C27,D54,E11,1,True,5,5,0,16,16
50,201805050017,136,A11,B4,C27,D54,E11,0,True,5,5,0,17,17
51,201805050018,136,A11,B4,C27,D54,E11,0,True,5,5,0,18,18
52,201805051854,189,A11,B4,C27,D54,E11,1,True,5,5,18,54,1854
53,201805051855,189,A11,B4,C27,D54,E11,0,True,5,5,18,55,1855
54,201805051856,189,A11,B4,C27,D54,E11,0,True,5,5,18,56,1856
55,201805051857,189,A11,B4,C27,D54,E11,0,True,5,5,18,57,1857
56,201805051927,117,A11,B4,C27,D54,E11,1,True,5,5,19,27,1927
57,201805052018,45,A11,B4,C27,D54,E11,0,True,5,5,20,18,2018
58,201805111100,21,A11,B4,C27,D54,E11,0,True,5,11,11,0,1100
59,201806142119,97,A11,B4,C29,D77,E11,0,True,6,14,21,19,2119
60,201805082205,459,A12,B4,C27,D54,E13,0,True,5,8,22,5,2205
61,201805261452,848,A12,B4,C27,D54,E14,0,False,5,26,14,52,1452
62,201803290926,509,A12,B4,C26,D77,E14,0,True,3,29,9,26,926
63,201803291706,162,A12,B4,C26,D13,E14,0,True,3,29,17,6,1706
64,201803281758,2,A12,B4,C26,D13,E16,1,False,3,28,17,58,1758
65,201804272051,76,A12,B4,C27,D54,E16,0,False,4,27,20,51,2051
66,201804302327,1,A12,B4,C13,D77,E16,1,False,4,30,23,27,2327
67,201805011556,1,A12,B4,C27,D54,E16,1,False,5,1,15,56,1556
68,201805231102,366,A12,B4,C27,D77,E16,0,False,5,23,11,2,1102
69,201805231104,366,A12,B4,C27,D77,E16,0,False,5,23,11,4,1104
70,201805251922,1,A12,B4,C27,D54,E16,1,False,5,25,19,22,1922
71,201806141300,145,A12,B4,C27,D77,E16,1,False,6,14,13,0,1300
72,201806141301,145,A12,B4,C27,D77,E16,0,False,6,14,13,1,1301
73,201803231923,71,A12,B4,C26,D77,E16,0,True,3,23,19,23,1923
74,201804241129,63,A12,B4,C27,D54,E16,1,True,4,24,11,29,1129
75,201805010953,593,A12,B4,C25,D54,E16,0,True,5,1,9,53,953
76,201806172056,150,A12,B4,C29,D77,E17,0,False,6,17,20,56,2056
77,201804022044,391,A12,B4,C27,D13,E17,1,True,4,2,20,44,2044
78,201804281803,2,A12,B4,C26,D77,E18,1,False,4,28,18,3,1803
79,201805010917,208,A12,B4,C27,D54,E18,0,False,5,1,9,17,917
80,201805010918,208,A12,B4,C27,D54,E18,0,False,5,1,9,18,918
81,201806031918,322,A12,B4,C26,D77,E18,0,False,6,3,19,18,1918
82,201806031919,322,A12,B4,C26,D77,E18,0,False,6,3,19,19,1919
83,201804201410,327,A12,B4,C27,D54,E18,0,True,4,20,14,10,1410
84,201804201944,213,A12,B4,C25,D77,E18,0,True,4,20,19,44,1944
85,201805162321,180,A12,B4,C27,D77,E20,0,False,5,16,23,21,2321
86,201806161716,747,A12,B4,C29,D77,E20,0,False,6,16,17,16,1716
87,201805241209,365,A12,B4,C21,D54,E23,1,False,5,24,12,9,1209
88,201805221450,269,A4,B2,C44,D54,E38,0,True,5,22,14,50,1450
89,201806172245,82,A4,B2,C45,D54,E39,0,True,6,17,22,45,2245
90,201804241029,2,A4,B2,C49,D77,E40,1,False,4,24,10,29,1029
91,201804201943,778,A4,B2,C44,D54,E41,0,True,4,20,19,43,1943
92,201806071802,2,A4,B2,C42,D77,E47,1,False,6,7,18,2,1802
93,201806040001,127,A4,B2,C42,D77,E47,0,True,6,4,0,1,1
94,201805101929,271,A4,B2,C34,D31,E48,0,True,5,10,19,29,1929
95,201803241854,236,A4,B3,C79,D54,E49,0,True,3,24,18,54,1854
96,201805080957,81,A4,B3,C79,D77,E49,0,False,5,8,9,57,957
97,201805311453,1,A4,B3,C79,D25,E49,1,False,5,31,14,53,1453
98,201804300910,985,A4,B2,C41,D73,E53,1,False,4,30,9,10,910
99,201805222038,1,A4,B2,C51,D25,E54,1,False,5,22,20,38,2038
100,201803220843,177,A3,B2,C51,D77,E55,0,True,3,22,8,43,843
101,201804221254,643,A4,B2,C51,D77,E55,0,True,4,22,12,54,1254
102,201806042144,2647,A4,B2,C44,D77,E88,0,False,6,4,21,44,2144
103,201806112003,159,A4,B2,C44,D77,E118,0,False,6,11,20,3,2003
104,201806132234,141,A3,B2,C44,D54,E120,1,True,6,13,22,34,2234
105,201803242259,498,A4,B6,C73,D54,E171,0,True,3,24,22,59,2259
106,201803242307,319,A4,B6,C71,D77,E171,0,True,3,24,23,7,2307
107,201803251304,191,A4,B6,C73,D77,E171,0,True,3,25,13,4,1304
108,201803251846,286,A4,B6,C70,D54,E171,0,True,3,25,18,46,1846
109,201803252328,1,A4,B6,C74,D77,E171,1,False,3,25,23,28,2328
110,201803262037,3,A4,B6,C71,D77,E171,1,False,3,26,20,37,2037
111,201803270950,143,A11,B6,C73,D31,E171,0,True,3,27,9,50,950
112,201803271657,123,A6,B6,C73,D31,E171,1,True,3,27,16,57,1657
113,201803271954,795,A6,B6,C73,D77,E171,0,True,3,27,19,54,1954
114,201803272110,173,A11,B6,C70,D77,E171,0,True,3,27,21,10,2110
115,201803281311,749,A4,B6,C77,D54,E171,0,False,3,28,13,11,1311
116,201803281312,749,A4,B6,C77,D54,E171,0,False,3,28,13,12,1312
117,201803292148,1,A11,B6,C73,D77,E171,1,False,3,29,21,48,2148
